sequence,frame,image_path,gt_id_path,pred_path,status,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,gt_pos_ratio
00003,frame001370-1581624212_249,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001370-1581624212_249.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001370-1581624212_249.png,/home/brownassassin/research-project/rellis-output/00003/frame001370-1581624212_249/pred_traversable.png,no_boxes,0,0,1150803,1153197,0.0,0.0,0.0,0.0,0.5005195312499998,0.4994804687499998
00003,frame001372-1581624212_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001372-1581624212_449.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001372-1581624212_449.png,/home/brownassassin/research-project/rellis-output/00003/frame001372-1581624212_449/pred_traversable.png,no_boxes,0,0,1127378,1176622,0.0,0.0,0.0,0.0,0.5106866319444442,0.48931336805555536
00003,frame001374-1581624212_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001374-1581624212_649.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001374-1581624212_649.png,/home/brownassassin/research-project/rellis-output/00003/frame001374-1581624212_649/pred_traversable.png,no_boxes,0,0,1084822,1219178,0.0,0.0,0.0,0.0,0.5291571180555553,0.47084288194444424
00003,frame001376-1581624212_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001376-1581624212_849.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001376-1581624212_849.png,/home/brownassassin/research-project/rellis-output/00003/frame001376-1581624212_849/pred_traversable.png,no_boxes,0,0,1042587,1261413,0.0,0.0,0.0,0.0,0.5474882812499998,0.4525117187499998
00003,frame001378-1581624213_049,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001378-1581624213_049.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001378-1581624213_049.png,/home/brownassassin/research-project/rellis-output/00003/frame001378-1581624213_049/pred_traversable.png,no_boxes,0,0,986908,1317092,0.0,0.0,0.0,0.0,0.5716545138888887,0.42834548611111095
00003,frame001380-1581624213_250,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001380-1581624213_250.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001380-1581624213_250.png,/home/brownassassin/research-project/rellis-output/00003/frame001380-1581624213_250/pred_traversable.png,no_boxes,0,0,987286,1316714,0.0,0.0,0.0,0.0,0.5714904513888887,0.42850954861111096
00003,frame001382-1581624213_450,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001382-1581624213_450.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001382-1581624213_450.png,/home/brownassassin/research-project/rellis-output/00003/frame001382-1581624213_450/pred_traversable.png,no_boxes,0,0,967552,1336448,0.0,0.0,0.0,0.0,0.5800555555555553,0.4199444444444443
00003,frame001384-1581624213_650,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001384-1581624213_650.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001384-1581624213_650.png,/home/brownassassin/research-project/rellis-output/00003/frame001384-1581624213_650/pred_traversable.png,no_boxes,0,0,942643,1361357,0.0,0.0,0.0,0.0,0.590866753472222,0.4091332465277776
00003,frame001386-1581624213_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001386-1581624213_849.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001386-1581624213_849.png,/home/brownassassin/research-project/rellis-output/00003/frame001386-1581624213_849/pred_traversable.png,no_boxes,0,0,798642,1505358,0.0,0.0,0.0,0.0,0.6533671874999998,0.3466328124999999
00003,frame001388-1581624214_049,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node/frame001388-1581624214_049.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00003/pylon_camera_node_label_id/frame001388-1581624214_049.png,/home/brownassassin/research-project/rellis-output/00003/frame001388-1581624214_049/pred_traversable.png,no_boxes,0,0,716967,1587033,0.0,0.0,0.0,0.0,0.6888164062499997,0.3111835937499999
